Date,Open,High,Low,Close,Adj Close,Volume,Headline,Compound_Headline,Negative_Headline,Neutral_Headline,Positive_Headline,Unnamed: 0,Tweets,Compound_Tweets,Negative_Tweets,Neutral_Tweets,Positive_Tweets
2017-06-13,658.0,663.5,654.5,656.2999877929688,639.6099243164062,245198,,,,,,,,,,,
2017-06-14,659.0,678.75,657.875,677.9500122070312,660.7093505859375,6978004,,,,,,0.0,reliance communication chairman anil ambani decides not draw salary 4 current financial year stock sell reliance 1348 target 133613241312 sl 1368 subscribe service rs2500 m trial type stock amp send 9042203900,0.0,0.0,1.0,0.0
2017-06-15,681.0,697.125,680.0,692.25,674.6456909179688,2017274,,,,,,1.0,stock focus intraday long hdil prestige erosmedia hul reliance pnb get expert technicalview,0.0,0.0,1.0,0.0
2017-06-16,694.4000244140625,697.5,685.0499877929688,693.9249877929688,676.278076171875,1925484,,,,,,,,,,,
2017-06-19,695.9500122070312,707.5,695.5,704.5750122070312,686.6573486328125,893422,,,,,,,,,,,
2017-06-20,707.5,711.2999877929688,704.0250244140625,706.125,688.1678466796875,1161046,,,,,,,,,,,
2017-06-21,705.0,713.5,702.7999877929688,709.0499877929688,691.0184936523438,2747476,,,,,,2.0,home finance list reliance capital gets nclt nod shareholder meet via financialxpressstock trading,0.0,0.0,1.0,0.0
2017-06-22,715.0,722.0,714.3250122070312,716.5750122070312,698.3521118164062,578176,,,,,,3.0,reliance communication jump 6 on monetisation realtyasset via financialxpressstock trading focus reliance comm lampt zee ent among top stock likely focus today trading session,0.2023,0.0,0.924,0.076
2017-06-23,719.5,720.8499755859375,715.4500122070312,717.5,699.2536010742188,806872,,,,,,,,,,,
2017-06-27,716.0,720.0250244140625,712.5,717.9500122070312,699.6922607421875,824000,,,,,,,,,,,
2017-06-28,719.1500244140625,720.0,698.0750122070312,699.25,681.4677124023438,412486,,,,,,4.0,stock focus intraday long abirla havell icicibank mothersonsumi relianceget expert technicalview stock sell on risehdfcbankhdfcreliance industry,0.0,0.0,1.0,0.0
2017-06-29,706.0,709.0,695.1500244140625,696.4500122070312,678.7388916015625,274406,,,,,,,,,,,
2017-06-30,696.4500122070312,697.0999755859375,687.5499877929688,690.125,672.5747680664062,210558,,,,,,,,,,,
2017-07-03,694.0,697.0,686.0499877929688,692.0499877929688,674.4508056640625,390070,,,,,,,,,,,
2017-07-04,693.75,712.75,693.75,711.3499755859375,693.260009765625,1481546,,,,,,5.0,reliance 1413 donethou exit early scalp future nifty stock reliance short 14182 sl3pt trade nifty stock fk,0.6597,0.0,0.735,0.265
2017-07-05,713.5999755859375,722.9500122070312,713.5,719.9000244140625,701.5925903320312,471116,,,,,,6.0,swastikaupdate reliance become valuable company stockmarketupdate sharemarket sharemarketupdate bse mcx stock share stock focus intraday long chambalfert tataelxsi amarajabat reliance get expert technicalview,0.6486,0.0,0.798,0.202
2017-07-06,722.6500244140625,724.9749755859375,718.6749877929688,720.7000122070312,702.3722534179688,322396,reliance jio launch jiofi jiogst starter kit,0.0,0.0,1.0,0.0,7.0,stock focus intraday long gruh sail aiaeng biocon havell reliance get expert technicalview,0.0,0.0,1.0,0.0
2017-07-07,719.0,748.5,719.0,745.4000244140625,726.4441528320312,1355214,,,,,,8.0,reliance flag amp pole stock forex commodity trading trader,0.0,0.0,1.0,0.0
2017-07-10,746.0,754.0,743.5,746.2249755859375,727.248046875,2510082,reliance jio approach law enforcement agency data breach reliance jio approach law enforcement agency data breach,0.0,0.0,1.0,0.0,9.0,rcom share gain on debtreduction plan stock rcom nse reliance stock focus intraday long dbl gepil uflex kec divislab reliance get expert technicalview,0.6808,0.0,0.789,0.211
2017-07-11,750.0,752.0,743.5250244140625,747.5999755859375,728.588134765625,527568,reliance jio dhan dhana dhan plan continue revise tariff,0.0,0.0,1.0,0.0,10.0,share infosys rs 34433 crore tata motor rs 31245 crore reliance industry rs 29522 crore active stock,0.5994,0.0,0.754,0.246
2017-07-12,749.4000244140625,762.25,748.0,755.25,736.0435791015625,570856,,,,,,11.0,10 sensexs 30 stock responsible half indexs rise fy18 primarily itc hdfc bank reliance,0.3182,0.0,0.85,0.15
2017-07-13,755.0,761.7999877929688,753.3499755859375,759.4249877929688,745.4901733398438,574908,airtel vodafone idea wait increase tariff like reliance jio here,0.5859,0.0,0.625,0.375,,,,,,
2017-07-14,761.0,767.0,757.625,765.5250244140625,751.478271484375,507546,,,,,,12.0,share infosys rs 34433 cr tata motor rs 31245 cr reliance ind rs 29522 cr r active stock,0.5994,0.0,0.754,0.246
2017-07-17,767.1500244140625,779.4000244140625,767.1500244140625,775.6749877929688,761.4420166015625,494904,,,,,,,,,,,
2017-07-18,774.2000122070312,775.75,756.0,759.9500122070312,746.005615234375,506892,,,,,,13.0,reliance industry clear 12345 ril reliance stock elliottwave share itc rs 264806 cr follow reliance rs 31825 cr accrs 22287 cremerge active stock,0.7579,0.0,0.727,0.273
2017-07-19,759.8499755859375,770.4000244140625,757.5,766.75,752.6807861328125,280352,company go make 4 g volte feature phone reliance jio,0.0,0.0,1.0,0.0,,,,,,
2017-07-20,770.0,774.9249877929688,760.5250244140625,764.3499755859375,750.3247680664062,454964,,,,,,,,,,,
2017-07-21,777.0,796.0999755859375,772.2000122070312,793.0999755859375,778.5472412109375,3951370,,,,,,,,,,,
2017-07-24,802.0,812.4000244140625,793.0999755859375,808.0499877929688,793.2229614257812,1586648,,,,,,14.0,reliance alltime highicicibank 52 week highboth stock contribute 15 7 point respectively nifty gain,0.8176,0.0,0.541,0.459
2017-07-25,813.3499755859375,814.5,800.0,801.6749877929688,786.9649047851562,563488,,,,,,,,,,,
2017-07-26,805.0,814.9749755859375,801.0,810.9500122070312,796.0697631835938,1488214,reliance jio effect vodafone roll new 4 g plan 70 gb datum,0.0,0.0,1.0,0.0,,,,,,
2017-07-27,814.9749755859375,815.5499877929688,795.5,799.1749877929688,784.5108032226562,500338,,,,,,15.0,9th nov 16 till date nifty stock top 10 surprisingly reliance almost 60 hdfcbank 50,0.6908,0.0,0.642,0.358
2017-07-28,798.5,802.5,789.5,797.125,782.4984741210938,456716,,,,,,16.0,reliance adag stock on move surge 8 via economictime,0.0,0.0,1.0,0.0
2017-07-31,800.0250244140625,809.0,798.0,806.9249877929688,792.1185913085938,385176,,,,,,,,,,,
2017-08-01,811.9249877929688,812.5,795.7999877929688,801.7750244140625,787.0631713867188,284486,,,,,,,,,,,
2017-08-02,804.2999877929688,818.0,802.5,814.5499877929688,799.6036987304688,669096,,,,,,17.0,reliance bo amp sustain else back tl support trade nifty stock,0.6597,0.0,0.625,0.375
2017-08-03,814.9500122070312,832.5,808.4500122070312,825.7750244140625,810.6227416992188,762374,,,,,,18.0,daily wrap fundoomoney stock personalfinance money sensex nifty colgateplamolive reliance rcom dowjone servicepmi reliance update bo sustain n journey continue trade nifty stock,0.6597,0.0,0.787,0.213
2017-08-04,830.2750244140625,831.5999755859375,807.7750244140625,811.25,796.3642578125,569104,,,,,,,,,,,
